antecedent,consequent,confidence,lift,support,readable
"['CPU_i5', 'RAM_8-16GB']",['STORAGE_128-256GB'],0.7073170731707317,2.3657704153833348,0.08877551020408163,"CPU_i5, RAM_8-16GB  ->  STORAGE_128-256GB   (confidence=0.71, lift=2.37)"
"['STORAGE_SSD', 'PRICE_1200+', 'GPU_IntelIntegrated']",['RAM_8-16GB'],0.684,2.3602816901408454,0.08724489795918368,"STORAGE_SSD, PRICE_1200+, GPU_IntelIntegrated  ->  RAM_8-16GB   (confidence=0.68, lift=2.36)"
"['STORAGE_128-256GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",['CPU_i5'],0.5614617940199336,2.3464074973967373,0.08622448979591837,"STORAGE_128-256GB, STORAGE_SSD, GPU_IntelIntegrated  ->  CPU_i5   (confidence=0.56, lift=2.35)"
"['RAM_8-16GB', 'STORAGE_128-256GB', 'STORAGE_SSD']",['CPU_i5'],0.5587188612099644,2.3349444946088065,0.08010204081632653,"RAM_8-16GB, STORAGE_128-256GB, STORAGE_SSD  ->  CPU_i5   (confidence=0.56, lift=2.33)"
"['CPU_i5', 'RAM_8-16GB', 'PRICE_1200+']",['STORAGE_SSD'],0.9459459459459459,2.3233760075865337,0.05357142857142857,"CPU_i5, RAM_8-16GB, PRICE_1200+  ->  STORAGE_SSD   (confidence=0.95, lift=2.32)"
"['STORAGE_128-256GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",['RAM_8-16GB'],0.6710963455149501,2.3157549950867997,0.10306122448979592,"STORAGE_128-256GB, STORAGE_SSD, GPU_IntelIntegrated  ->  RAM_8-16GB   (confidence=0.67, lift=2.32)"
"['STORAGE_128-256GB', 'STORAGE_SSD']",['RAM_8-16GB'],0.6627358490566038,2.2869053946319426,0.1433673469387755,"STORAGE_128-256GB, STORAGE_SSD  ->  RAM_8-16GB   (confidence=0.66, lift=2.29)"
"['CPU_i7/i9', 'RAM_16-32GB', 'PRICE_1200+']",['STORAGE_SSD'],0.9261744966442953,2.274814553161427,0.07040816326530612,"CPU_i7/i9, RAM_16-32GB, PRICE_1200+  ->  STORAGE_SSD   (confidence=0.93, lift=2.27)"
"['CPU_i7/i9', 'RAM_8-16GB', 'PRICE_1200+']",['STORAGE_SSD'],0.9251700680272109,2.27234753550543,0.06938775510204082,"CPU_i7/i9, RAM_8-16GB, PRICE_1200+  ->  STORAGE_SSD   (confidence=0.93, lift=2.27)"
"['RAM_8-16GB', 'STORAGE_SSD', 'GPU_IntelIntegrated']",['CPU_i5'],0.5432098765432098,2.2701308273447576,0.0673469387755102,"RAM_8-16GB, STORAGE_SSD, GPU_IntelIntegrated  ->  CPU_i5   (confidence=0.54, lift=2.27)"
